City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,maceio,-9.6658,-35.7353,26.07,87,63,6.61,BR,1736138410
213,vernon,50.2581,-119.2691,2.64,88,98,0.32,CA,1736138468
214,sao vicente,-23.9631,-46.3919,23.88,26,54,1.42,BR,1736138570
215,hami,42.8,93.45,-2.01,41,91,2.33,CN,1736138571
216,mitsamiouli,-11.3847,43.2844,27.56,74,14,3.53,KM,1736138572
217,pionerskiy,54.9508,20.2275,-1.6,93,100,10.22,RU,1736138573
218,charlotte amalie,18.3419,-64.9307,26.15,76,23,8.56,VI,1736138409
219,loreto,22.2667,-101.9667,11.43,35,33,2.81,MX,1736138577
220,egbe,8.2167,5.5167,21.57,25,92,0.41,NG,1736138578
221,happy valley-goose bay,53.3168,-60.3315,0.12,94,100,9.07,CA,1736138579
222,cockburn town,21.4612,-71.1419,23.5,63,90,7.38,TC,1736138580
223,thompson,55.7435,-97.8558,-16.95,93,100,1.84,CA,1736138581
224,champerico,14.3,-91.9167,25.58,75,0,2.68,GT,1736138583
225,revda,56.801,59.9303,-9.01,88,100,5.27,RU,1736138585
226,kodiak,57.79,-152.4072,3.31,98,100,8.18,US,1736138586
227,zhuanghe,39.7008,122.9911,-1.44,31,0,6.84,CN,1736138353
228,bredasdorp,-34.5322,20.0403,17.06,53,5,1.42,ZA,1736138588
229,ternate,0.8,127.4,28.8,74,48,3.11,ID,1736138589
230,dunedin,-45.8742,170.5036,14.3,64,67,3.5,NZ,1736138591
231,piti village,13.4626,144.6933,30.17,81,38,8.3,GU,1736138592
232,cidreira,-30.1811,-50.2056,18.74,80,3,2.21,BR,1736138593
233,igarka,67.4667,86.5833,-15.57,92,100,8.51,RU,1736138594
234,las tablas,7.7667,-80.2833,25.1,99,42,1.21,PA,1736138595
235,caleta de carquin,-11.0925,-77.6267,20.79,88,88,3.23,PE,1736138596
236,ciudad lazaro cardenas,17.9583,-102.2,22.14,87,1,2.06,MX,1736138597
237,shelbyville,35.4834,-86.4603,13.35,91,100,7.86,US,1736138598
238,blankenberge,51.3131,3.1323,11.75,81,100,3.13,BE,1736138600
239,minas de marcona,-15.2119,-75.1103,16.95,85,100,4.39,PE,1736138602
240,the pas,53.8251,-101.2541,-14.57,92,100,1.52,CA,1736138542
241,staryye ozinki,51.1786,49.6769,-6.62,95,98,2.78,RU,1736138604
242,tapes,-30.6733,-51.3958,18.29,81,5,2.66,BR,1736138605
243,crane,31.3974,-102.3501,3.74,35,3,6.33,US,1736138607
244,camisano vicentino,45.5222,11.7077,4.31,87,100,0.77,IT,1736138608
245,chirpan,42.2,25.3333,0.46,77,7,0.77,BG,1736138609
246,alice springs,-23.7,133.8833,40.02,10,26,3.92,AU,1736138610
247,margaret river,-33.95,115.0667,22.64,57,0,4.25,AU,1736138611
248,vadso,70.0744,29.7487,-1.75,80,100,2.45,NO,1736138612
249,geraldton,-28.7667,114.6,30.48,56,0,8.43,AU,1736138613
250,zhezqazghan,47.7833,67.7667,-3.56,95,100,3.05,KZ,1736138615
251,takoradi,4.8845,-1.7554,25.81,89,44,2.5,GH,1736138616
252,bodo,67.28,14.405,-7.81,86,98,1.34,NO,1736138617
253,amble,55.3333,-1.5833,3.88,87,100,11.09,GB,1736138618
254,sao jose da coroa grande,-8.8978,-35.1478,25.66,88,34,4.65,BR,1736138619
255,choibalsan,48.0667,114.5,-8.2,58,84,4.98,MN,1736138620
256,bonthe,7.5264,-12.505,23.48,86,13,1.54,SL,1736138622
257,karpinsk,59.7654,60.0085,-15.15,91,44,2.81,RU,1736138623
258,kukawa,12.9234,13.5606,18.49,47,7,5.39,NG,1736138624
259,fort st. john,56.2499,-120.8529,-24.02,100,89,0.62,CA,1736138625
260,tame,6.461,-71.73,23.45,86,100,1.79,CO,1736138626
261,big spring,32.2504,-101.4787,-0.43,52,13,2.24,US,1736138627
262,yellowknife,62.456,-114.3525,-36.36,87,72,1.79,CA,1736138628
263,timmins,48.4669,-81.3331,-14.06,91,100,3.18,CA,1736138630
264,christchurch,-43.5333,172.6333,19.39,54,7,5.32,NZ,1736138379
265,boguchany,58.3814,97.4531,-13.61,96,95,0.29,RU,1736138632
266,san andres,12.5847,-81.7006,26.71,84,57,7.29,CO,1736138362
